fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity	i
Speaker8.txt	-0.54828807	-0.523346596	-0.463499233	-0.491509343	0.957165458	-0.224347028	-0.776318386	NA	0.316227766	0.316227766	-0.766919905	-0.766919905	0.870335899	NA	0.316227766	-0.785037141	-0.698188887	0.260178074	-1.208135164	-1.322845136	0.25	-1.170422108	-0.331089662	5
Speaker8.txt	0.663037193	-0.186977461	-0.495391173	-0.541023496	1.671320315	0.523247699	-0.265324005	NA	0.316227766	0.316227766	-0.266260026	-0.266260026	0.165202647	NA	0.316227766	-0.100838285	-0.881922805	0.618109349	-0.595051648	-0.946548731	0.25	1.164998819	0.231289492	6
Speaker8.txt	0.087625072	-0.146134793	-0.187004099	-0.344865152	-1.001713254	-0.971941755	-0.619089346	NA	0.316227766	0.316227766	-0.607619034	-0.607619034	0.628575927	NA	0.316227766	-0.51033386	-0.93441821	-1.019697393	-0.692423736	-0.66746499	2.25	0.258146227	-0.189966063	7
Speaker8.txt	0.423295062	0.33288596	0.344234351	0.173608445	0.841382893	-0.971941755	-0.448757886	NA	0.316227766	0.316227766	-0.448318164	-0.448318164	0.406962619	NA	0.316227766	-0.469384302	2.049070643	0.501510525	-0.086552967	0.409713611	6.25	1.021679552	-0.238236294	8
Speaker8.txt	-0.251225364	-0.109726338	0.029148885	-0.055097526	-0.870149248	-0.971941755	-0.239119165	NA	0.316227766	0.316227766	-0.243502759	-0.243502759	0.145055983	NA	0.316227766	-0.095719591	-0.094491729	0.57336794	0.454403076	0.956587895	12.25	1.288344262	-0.667080796	9
Speaker8.txt	-1.547815945	-1.058924277	-0.876504618	-1.107819076	-0.543682033	2.01895173	-0.992508317	NA	-2.846049894	-2.846049894	-0.994492577	-0.994492577	1.192682528	NA	-2.846049894	-1.088746359	-0.505705735	-0.435347471	-1.327145493	-1.20527762	20.25	-1.006625772	-1.97473751	10
Speaker9.txt	1.017292318	0.719088119	-0.394960187	0.128522823	-0.783064841	-1.435516028	-0.654298213	0.038028546	NA	-0.40155243	-0.62592519	-0.438678949	0.494938137	NA	-0.47434165	-1.862374354	-2.127896911	1.04312681	0.541125719	1.299755614	20.25	-0.894485216	0.834775718	1
Speaker9.txt	0.114714377	-0.210051534	-0.749906381	-0.455519855	0.458777042	-1.435675931	1.754382023	-0.088733274	NA	-0.56793272	1.721294272	1.978531584	-1.90476192	NA	-0.47434165	-0.113289835	-0.09881297	0.469203622	0.151717491	0.208843305	12.25	0.71133291	1.239815319	2
Speaker9.txt	1.986613483	1.889134033	0.298305921	0.907962061	2.044574653	-0.811495076	0.56801713	-1.863398764	NA	1.236653501	0.603570719	0.008952632	-0.104986877	NA	1.897366595	1.268293514	0.065875313	-0.363841603	1.941983889	1.641829595	6.25	0.634173621	-1.181783922	3
Speaker9.txt	0.076787345	0.383654536	0.779179113	-0.24091157	-0.15562234	1.685228346	0.603967582	0.291552188	NA	0.027196778	0.603570719	0.546110528	-0.554930638	NA	-0.47434165	0.384080171	0.600335402	-0.016917885	-0.457681099	-0.625129631	2.25	0.359337349	0.889253464	4
Speaker9.txt	-0.62552952	-0.003470561	1.428312963	1.954328195	-0.693885674	0.124776208	-0.762149567	-0.976066019	NA	0.068791851	-0.737697545	-0.796784213	0.794900644	NA	-0.47434165	-0.370264337	-0.922254385	-0.432369745	0.184589614	0.335998005	0.25	0.072285756	-0.396438466	5
