fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	meanIntensity	sdIntensity	i	isq
Speaker7.txt	0.65455305	0.440897931	-0.385239339	0.355949017	2.221819985	-0.545346978	1.92296984	0.057214185	1.644663969	1.604793338	0.516723335	0.070585808	-0.191384182	NA	1.644663027	2.064135414	1.779750121	1.435032042	-0.306275542	-1.83256448	0.271257294	0.774860103	6	0.25
Speaker7.txt	0.487446885	0.665152459	0.35696244	1.653532049	1.978605885	-0.092535399	2.385564633	0.078589347	1.644663969	1.738676167	1.091481254	0.410910238	-0.422431484	NA	1.644663027	2.149592721	1.630619037	1.467624853	-0.802980289	-2.228272079	0.302889814	0.507928357	7	2.25
Speaker7.txt	0.629300618	0.212219565	-0.775896498	0.621845662	1.496533371	0.133870391	2.500111915	-0.242038089	1.644663969	1.893403029	1.235170734	0.354189499	-0.376222024	NA	1.644663027	1.911896901	1.110840523	1.300665549	-0.881102784	-2.183695369	0.317263669	0.375017734	8	6.25
Speaker7.txt	1.051734524	0.582274528	-0.753620181	0.554621219	1.748814375	-0.092535399	2.20493238	0.035839022	1.644663969	1.763528668	0.875947035	0.184027284	-0.260698373	NA	1.644663027	1.89548457	1.304449298	1.842126768	0.135454117	-1.421778001	0.267672237	0.445136547	9	12.25
Speaker7.txt	0.240837966	-0.270057885	-1.104778781	-0.249685001	1.185987417	0.360463121	1.583733659	-0.584040688	1.638055334	2.032416696	0.109603142	-0.780225267	0.524862455	NA	1.638054393	1.034969105	1.116073193	1.211928992	-0.051654079	-1.035501336	0.407910517	0.086221296	10	20.25
Speaker8.txt	0.069139838	-0.716686811	-1.805253073	0.163927038	3.552759553	-1.11111471	0.69378939	-1.73829946	0.197372938	1.041683765	0.780154048	-0.647876878	0.409338804	NA	0.197372015	-1.198522695	-0.632510566	-0.91774838	-1.102932088	0.048582826	0.274154183	-1.429622954	1	20.25
Speaker8.txt	0.6937681	1.300090014	1.149734434	2.090894169	4.138550302	-0.544983399	0.231194598	-1.73829946	0.197372938	1.041683765	0.061706649	-1.215084261	0.963852329	NA	0.197372015	-1.377360503	-0.571462754	-0.929734123	-1.327654819	-0.007627447	0.177495698	-1.483207923	2	12.25
Speaker8.txt	0.928395762	1.312552384	0.706067855	1.745570249	3.251861491	-0.544983399	-0.522174065	-1.73829946	0.197372938	1.041683765	-1.135705683	-2.160429899	2.095984109	NA	0.197372015	-1.55365157	-0.751117744	-0.893566617	-1.288111334	0.331043186	0.096327926	-1.562040165	3	6.25
Speaker8.txt	0.213796015	-0.660457627	-1.899081712	-0.426165183	3.854741474	-0.544983399	-1.028825505	-1.73829946	0.197372938	1.041683765	-1.925997822	-2.784358021	3.112592238	NA	0.197372015	-1.652691495	-0.727570731	-1.375519671	-1.597707886	0.01335819	0.084892192	-1.674271978	4	2.25
Speaker8.txt	0.220589437	-0.42013645	-1.392619029	-0.062922942	4.238740088	-0.828081531	-1.24029741	-1.73829946	0.197372938	1.041683765	-2.237325029	-3.030147887	3.620896303	NA	0.197372015	-1.702211457	-0.766815753	-0.969476325	-1.883192556	-0.3630554	0.071842195	-1.687844044	5	0.25
Speaker8.txt	0.588587128	-0.161032331	-1.426504147	-0.106645145	4.554216312	-0.544983399	-0.896655564	-1.73829946	0.197372938	1.041683765	-1.710463602	-2.614195806	2.812230745	NA	0.197372015	-1.58874	-0.785130097	-0.913963408	-1.719231766	-0.277341299	0.330000365	-1.612483597	6	0.25
Speaker8.txt	0.413778315	-0.129571348	-1.098843541	0.06656745	3.373410037	-1.111179663	-1.134561457	-1.73829946	0.197372938	1.041683765	-2.069687302	-2.897799497	3.34363954	NA	0.197372015	-1.656653092	-0.790362766	-1.16797706	-1.745272597	-0.213770636	0.229756592	-1.66893307	7	2.25
Speaker8.txt	0.515754047	0.239416878	-0.534403826	0.524392262	4.187593413	-1.111179663	-1.020014175	-1.73829946	0.197372938	1.041683765	-1.902049576	-2.765451108	3.089487508	NA	0.197372015	-1.649861783	-0.49297271	-0.932047161	-1.583240757	0.031592846	0.314157808	-1.675401422	8	6.25
Speaker8.txt	0.31083637	-0.101526026	-0.869181459	0.32243932	3.431528127	-1.111179663	-0.879032905	-1.73829946	0.197372938	1.041683765	-1.686515356	-2.595288893	2.789126015	NA	0.197372015	-1.587891087	-0.706640052	-0.920902523	-1.438569471	0.156161769	0.34363501	-1.732867836	9	12.25
Speaker8.txt	-0.083064718	-0.832690306	-1.831436366	-0.607139444	3.575744249	0.021407724	-1.385684345	-1.73829946	0.193407757	1.037835636	-2.476807495	-3.219217014	3.990571986	NA	0.193406834	-1.752580334	-0.747629298	-1.077348017	-1.915020239	-0.336275463	0.089948294	-1.908097648	10	20.25
Speaker9.txt	1.40464183	0.322631333	-1.622090711	-0.264041586	1.457218319	-0.412844345	-0.464900424	0.142714835	-0.405499776	-0.431187687	-0.201724064	-0.080669494	-0.052755801	NA	-0.405467731	-0.983464571	-1.227290678	-0.402571685	0.046722395	1.255417843	0.290369807	1.572315824	1	20.25
Speaker9.txt	1.108114458	0.07026554	-1.688204572	-0.392394794	2.314670273	-0.413006299	-0.16972089	0.121339672	-0.405499776	-0.439525301	0.301189115	0.42981715	-0.422431484	NA	-0.405467731	-0.804343792	-0.657801803	-0.458925708	-0.101806791	0.78435025	0.413511925	1.60287926	2	12.25
Speaker9.txt	1.723096608	0.640430239	-1.492959875	-0.092746697	3.409612614	0.219178515	-0.315107824	-0.177912602	-0.405499776	-0.349094264	0.061706649	0.013865069	-0.145174721	NA	-0.405467351	-0.662858185	-0.611579888	-0.54072315	0.581041677	1.403129044	0.407594967	1.420150474	3	6.25
Speaker9.txt	1.095654146	0.231523434	-1.40339029	-0.345231011	1.890447224	2.747917771	-0.31070216	0.185465159	-0.405499776	-0.409702299	0.061706649	0.127306546	-0.214488912	NA	-0.405467731	-0.753408973	-0.461576693	-0.506658405	-0.334245324	0.424231825	0.386519155	1.5764266	4	2.25
