fl	i	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity
Speaker6.txt	5	0.141830422	0.132044243	0.931000847	1.304785843	0.01098585	0.736256545	892	21	244.7	234.26	3.65	3.81	0.263	0	244.7	203.48	96.42	497.68	34.81	0.171073324	0.25	73.4904954	5.907017427
Speaker6.txt	6	0.132606201	0.127787791	0.963663764	1.369346096	0.008865471	0.981675393	908	18	244.7	236.25	3.71	3.84	0.26	0	244.7	198.41	99.92	521.71	34.25	0.172622348	0.25	73.75998876	5.995515554
Speaker6.txt	7	0.124745476	0.133659183	1.07145515	1.978152055	0.005160113	0.981675393	944	18	244.7	235.61	3.86	4.01	0.25	0	244.7	191.36	100.98	497.83	30.76	0.160744147	2.25	74.17806559	6.101715788
Speaker6.txt	8	0.133485396	0.145608931	1.090822932	1.646374319	0.007651496	0.981675393	924	21	244.7	233.79	3.78	3.95	0.253	0	244.7	198.97	100.65	495.28	32.4	0.162838619	6.25	74.08598249	6.080346852
Speaker6.txt	9	0.120957299	0.138728878	1.146924407	2.468291268	0.006923419	0.981675393	927	37	244.7	226.52	3.79	4.09	0.244	0	244.7	199.74	100.84	499.01	34.61	0.173275258	12.25	73.84052735	5.928971109
Speaker6.txt	10	0.123538517	0.134285493	1.086992919	1.79828915	0.007965059	1.227295042	938	20	245.08	231.95	3.83	4.04	0.247	0	245.077959	193.36	99.77	498.02	30.91	0.159857261	20.25	73.80747437	7.995469279
Speaker7.txt	1	0.240185612	0.185907803	0.774017232	5.66767772	0.022191768	0.137614679	1720	46	436.2	415.64	3.94	4.14	0.242	0	436.2	217.26	88.32	491.2	34.58	0.159164135	20.25	73.15712909	7.95021536
Speaker7.txt	2	0.299815343	0.263570256	0.87910863	5.388303996	0.057656158	0.137602055	1689	62	436.2	402.68	3.87	4.19	0.238	0	436.2	229.07	94.35	515.73	43.78	0.191120618	12.25	73.64203102	8.724841414
Speaker7.txt	3	0.254263974	0.213542573	0.839845966	4.085702993	0.042411501	0.412806165	1717	59	436.2	407.96	3.94	4.21	0.238	0	436.2	229.02	88.44	496.91	38.57	0.168413239	6.25	73.57247235	8.428961073
Speaker7.txt	4	0.319700219	0.277183815	0.867011652	3.593519094	0.033272224	0.137602055	1644	96	436.2	386.95	3.77	4.25	0.235	0	436.2	228.84	89.22	499.06	36.68	0.160286663	2.25	73.11292116	9.077675505
Speaker7.txt	5	0.282976145	0.219208314	0.774652978	2.472964746	0.047916305	0.137602055	1606	108	436.2	385.94	3.68	4.16	0.24	0	436.2	230.84	88.68	497.07	39.29	0.170204471	0.25	73.41952663	9.174274001
Speaker7.txt	6	0.30942232	0.261362676	0.844679453	3.63325288	0.048521605	0.688010274	1571	84	436.2	383.72	3.6	4.09	0.244	0	436.2	242.35	95.55	510.26	47.04	0.194099443	0.25	74.09795168	9.566418289
Speaker7.txt	7	0.294760555	0.279754375	0.949090272	5.772541056	0.044738101	0.963214384	1676	85	436.2	392.07	3.84	4.27	0.234	0	436.2	245.37	93.84	511.81	41.89	0.170721767	2.25	74.21846448	9.114019133
Speaker7.txt	8	0.307206691	0.242608166	0.789722923	4.071629102	0.037238852	1.100816439	1702	70	436.2	401.72	3.9	4.24	0.236	0	436.2	236.97	87.88	503.87	41.08	0.173355277	6.25	74.27322564	8.8887606
Speaker7.txt	9	0.344270714	0.27295734	0.792856691	3.960798079	0.041163403	0.963214384	1635	83	436.2	393.62	3.75	4.15	0.241	0	436.2	236.39	90.1	529.62	51.62	0.218367951	12.25	74.08429342	9.007598814
Speaker7.txt	10	0.273123279	0.203055334	0.743456706	2.634761329	0.032407916	1.23853211	1494	54	435.8	410.39	3.43	3.64	0.275	0	435.8	205.98	87.94	499.65	49.68	0.241188465	20.25	74.61856978	8.3993049
Speaker8.txt	1	0.258058619	0.16642613	0.64491599	3.316671714	0.069226058	0.344155099	1292	0	348.6	348.6	3.71	3.71	0.27	0	348.6	127.05	67.89	398.37	38.78	0.30523416	20.25	74.10898818	5.830233707
